binarize,average,distribution,sample_size,stat,pvalue
True,True,equal,30.0,-0.0290314821174886,0.6409999999999999
True,True,equal,30.0,-0.02262079145070744,0.6097
True,True,equal,30.0,0.02920884380936275,0.2081
True,True,equal,30.0,-0.03510367374157219,0.8333
True,True,equal,30.0,-0.020522765160181276,0.5702
True,True,equal,30.0,0.007053628430784352,0.3125
True,True,equal,30.0,-0.029332893384641533,0.7093
True,True,equal,30.0,0.015819152703768213,0.2776
True,True,equal,30.0,-0.03975506148691385,0.9057
True,True,equal,30.0,0.07129337195718981,0.0865
True,True,equal,30.0,-0.023540075966705883,0.5847
True,True,equal,30.0,-0.026846446153038928,0.5444
True,True,equal,30.0,0.04829266875233816,0.1465
True,True,equal,30.0,-0.02271312495129625,0.6998
True,True,equal,30.0,-0.032197513979906826,0.7633
True,True,equal,30.0,0.0307145297033151,0.1806
True,True,equal,30.0,-0.009990449449120286,0.506
True,True,same_mean,30.0,-0.04183028178535287,0.9091
True,True,same_mean,30.0,-0.0390048721555137,0.8333
True,True,same_mean,30.0,0.10568477438391702,0.0507
True,True,same_mean,30.0,-0.028251778079234555,0.6832
True,True,same_mean,30.0,0.10858537571802718,0.0512
True,True,same_mean,30.0,0.24551054793379326,0.0077
True,True,same_mean,30.0,-0.04755946968833017,0.9699
True,True,same_mean,30.0,-0.04240895975009761,0.8603
True,True,same_mean,30.0,0.022869277119388853,0.2383
True,True,same_mean,30.0,0.1730524783715024,0.0237
True,True,same_mean,30.0,-0.029071059802321886,0.6709
True,True,same_mean,30.0,0.12983289471050194,0.0359
True,True,same_mean,30.0,0.05927602246578465,0.1112
True,True,same_mean,30.0,0.09266631259292496,0.0611
True,True,same_mean,30.0,0.048530480683529095,0.1262
True,True,same_mean,30.0,-0.03663216237064183,0.7651
True,True,same_mean,30.0,0.003013909251972144,0.3395
True,True,same_mean,30.0,-0.027931816350288442,0.6761
True,True,same_mean,30.0,0.028499545328168244,0.1982
True,True,same_mean,30.0,-0.0065716750396460355,0.4318
True,True,same_mean,30.0,-0.017354724530171815,0.4755
True,True,same_mean,30.0,-0.04298561837300241,0.9158
True,True,same_mean,30.0,-0.040353060082796106,0.8333
True,True,same_mean,30.0,0.012034107805327002,0.3051
True,True,same_mean,30.0,-0.049066609403301334,0.8805
True,True,same_mean,30.0,0.07064154475767846,0.0887
True,True,same_mean,30.0,0.048297611900947834,0.122
True,True,same_mean,30.0,0.006352798868959056,0.3574
True,True,same_mean,30.0,-0.05169028986052802,0.9604
True,True,same_mean,30.0,0.20173601607723127,0.0161
True,True,same_mean,30.0,-0.02209746985664348,0.5617
True,True,same_mean,30.0,0.23693998126750904,0.0054
True,True,same_mean,30.0,0.09561070036556538,0.0588
True,True,same_mean,30.0,-0.012499176925171105,0.4513
True,True,same_mean,30.0,0.07904035889318818,0.0702
