binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,50.0,0.46732960603160245,0.0001
True,True,diff_mean,50.0,0.34965077974476044,0.0001
True,True,diff_mean,50.0,0.4220637572564991,0.0001
True,True,diff_mean,50.0,0.17514126487927684,0.0025
True,True,diff_mean,50.0,0.4885275997876004,0.0001
True,True,diff_mean,50.0,0.35753588975170714,0.0001
True,True,diff_mean,50.0,0.6170905689463975,0.0001
True,True,diff_mean,50.0,0.2019814264438936,0.001
True,True,diff_mean,60.0,0.3459135084087523,0.0001
True,True,diff_mean,60.0,0.18250944168247588,0.0006
True,True,diff_mean,60.0,0.278911975350877,0.0001
True,True,diff_mean,60.0,0.3558964248910335,0.0001
True,True,diff_mean,60.0,0.2654778372001935,0.0001
True,True,diff_mean,60.0,0.4752376430735536,0.0001
True,True,diff_mean,60.0,0.42793560964133703,0.0001
True,True,diff_mean,60.0,0.30167190028464125,0.0001
True,True,diff_mean,60.0,0.4704989380961245,0.0001
True,True,diff_mean,60.0,0.37316907873362865,0.0001
True,True,diff_mean,60.0,0.3350649641054579,0.0001
True,True,diff_mean,60.0,0.4290077270838532,0.0001
True,True,diff_mean,60.0,0.22294719469810648,0.0001
True,True,diff_mean,60.0,0.1329915788187759,0.0046
True,True,diff_mean,60.0,0.3180528267747309,0.0001
True,True,diff_mean,60.0,0.44121856212946753,0.0001
True,True,diff_mean,60.0,0.4708258092949497,0.0001
True,True,diff_mean,60.0,0.3398318476032569,0.0001
True,True,diff_mean,60.0,0.4314503839137562,0.0001
True,True,diff_mean,60.0,0.47220959559675046,0.0001
True,True,diff_mean,60.0,0.4181582928506462,0.0001
True,True,diff_mean,60.0,0.29907548006105494,0.0001
True,True,diff_mean,60.0,0.3072059055112989,0.0001
True,True,diff_mean,60.0,0.25207360387042554,0.0001
True,True,diff_mean,60.0,0.42866808894434705,0.0001
True,True,diff_mean,60.0,0.25198231808357713,0.0001
True,True,diff_mean,60.0,0.26997181427683087,0.0001
True,True,diff_mean,60.0,0.35678983404084175,0.0001
True,True,diff_mean,60.0,0.521209693007698,0.0001
True,True,diff_mean,60.0,0.40776155366545236,0.0001
True,True,diff_mean,60.0,0.23184324568813058,0.0003
True,True,diff_mean,60.0,0.35675021666062057,0.0001
