ROI,stat,pval
207,0.6543023067915923,1e-06
208,0.35634099945303094,1e-05
209,0.6981485950121841,1e-06
210,0.3163477747653888,8.4e-05
211,0.2190544752896468,0.003722
212,0.47071354251855896,1e-06
213,0.49295011523023036,1e-06
214,0.3251700586588405,8.2e-05
215,0.44287367837029307,1e-06
216,0.7559431326985948,1e-06
217,0.6384679887167715,1e-06
218,0.8208782080332008,1e-06
219,0.5731799847705974,1e-06
220,0.8062504097795495,1e-06
221,0.29211609866302807,0.000168
222,0.6034316530846323,1e-06
223,0.5267624285586484,1e-06
224,0.6647673292091035,1e-06
225,0.6164774734266912,1e-06
226,0.8372806176907592,1e-06
227,0.7235658508554231,1e-06
228,0.7795115964638406,1e-06
229,0.8216313933932716,1e-06
230,0.733858988460892,1e-06
231,0.7335125890704114,1e-06
232,0.6345068907028624,1e-06
233,0.5344730188987946,1e-06
234,0.6756779795682347,1e-06
235,0.28192912825436617,0.000198
236,0.8164887248727069,1e-06
237,0.7069827183302398,1e-06
238,0.7387502963146496,1e-06
239,0.7245007751096686,1e-06
240,0.571035496183209,1e-06
241,0.45324009613255456,1e-06
242,0.8134469537429896,1e-06
243,0.779691851201609,1e-06
244,0.5818594554210798,1e-06
245,0.6429434198020838,1e-06
246,0.551086690256868,1e-06
247,0.5836868658260509,1e-06
248,0.9215779000982439,1e-06
249,0.44318727259850266,1e-06
250,0.8014510705593904,1e-06
251,0.7343402739880183,1e-06
252,0.6340942154856877,1e-06
253,0.5872176489326166,1e-06
254,0.5397567809500071,1e-06
255,0.45404723902949695,1e-06
256,0.3327732052278311,5.7e-05
257,0.38361192770456903,5e-06
258,0.1858731727685033,0.010957
259,0.5270088764782123,1e-06
260,0.4732274454632498,1e-06
261,0.4477068518162006,1e-06
262,0.5969210054969969,1e-06
263,0.4356640246771545,1e-06
264,0.545069713875648,1e-06
265,0.34792227487165345,9e-06
266,0.40690535088147617,1e-06
267,0.2952357629203234,0.000203
268,0.3660060477156928,7e-06
269,0.7289478614297645,1e-06
270,0.5312563309715413,1e-06
271,0.48849259189093835,1e-06
272,0.4306497343905048,1e-06
273,0.48825457567042724,1e-06
274,0.5859821386665457,1e-06
275,0.552845968006316,1e-06
276,0.6393283840023802,1e-06
277,-0.006478545778468809,0.490138
278,0.45796799281734607,1e-06
279,0.4567980521391992,1e-06
280,0.43950700203001647,1e-06
281,0.3612556923167355,2e-06
282,0.3217216776372965,6.6e-05
283,0.5507527904828582,1e-06
284,0.5251516862740574,1e-06
285,0.7258374632940096,1e-06
286,0.8556768519944176,1e-06
287,0.5813998088749488,1e-06
288,0.7369174022317317,1e-06
289,0.6877539049654529,1e-06
290,0.4331003014818968,1e-06
291,0.713324485367718,1e-06
292,0.8904616324308102,1e-06
293,0.2775842560232749,9.4e-05
294,0.6310800264565729,1e-06
295,0.4912989931942234,1e-06
296,0.39249566462909147,6e-06
297,0.46928625056898615,1e-06
298,0.7825383297703381,1e-06
299,0.6875105938115409,1e-06
300,0.2641555646653672,0.000388
301,0.5314511073239176,1e-06
302,0.4025210937711092,1e-06
303,0.5007213959108257,1e-06
304,0.35206721299622235,6e-06
305,0.282579152570313,0.000104
306,0.37577473848989695,7e-06
307,0.5453406066835753,1e-06
308,0.5930088503100547,1e-06
309,0.6209982490164337,1e-06
310,0.41780352886988176,1e-06
311,0.04523908975427513,0.158261
312,0.6629948957644441,1e-06
313,0.7289129090760548,1e-06
314,0.19598537404886823,0.006069
315,0.3973102065452924,1e-06
316,0.6085450230458632,1e-06
317,0.38586667191507734,1.2e-05
318,0.6189360499618977,1e-06
319,0.3041577191686794,0.000114
320,0.7105665447423711,1e-06
321,0.580233433832259,1e-06
322,0.7922260393503026,1e-06
323,0.6496242971447959,1e-06
324,0.5394683015935715,1e-06
325,0.7938214418515075,1e-06
326,0.6445969271812687,1e-06
327,0.4817897748162701,1e-06
328,0.5287108579575006,1e-06
329,0.705066013150004,1e-06
330,0.34459882529928243,2.1e-05
331,0.38190411255118106,3e-06
